x_value,total_1,total_2
0,1000,1000
1,1000,996
2,1007,1001
3,1007,996
4,1014,996
5,1022,995
6,1016,1001
7,1015,1002
8,1018,1007
9,1015,1004
10,1023,1006
11,1024,1007
12,1031,1003
13,1030,1005
14,1035,1000
15,1035,996
16,1030,996
17,1026,1001
18,1026,1005
19,1020,1010
20,1015,1008
21,1015,1008
22,1012,1007
23,1011,1010
24,1016,1016
25,1010,1011
26,1010,1016
27,1018,1015
28,1021,1019
29,1015,1014
30,1021,1010
31,1020,1012
32,1018,1008
33,1021,1008
34,1024,1004
35,1021,1000
36,1015,1002
37,1010,1002
38,1009,998
39,1010,1004
40,1008,1010
41,1008,1008
42,1004,1012
43,999,1016
44,997,1022
45,1005,1024
46,1000,1020
47,1001,1019
48,997,1024
49,994,1022
50,992,1026
51,988,1031
52,994,1026
